Date,Gain
2023-08-04,3.620000000000701
2022-01-13,-2.6099999999999457
2023-04-03,-3.210000000000145
2023-08-31,5.2100000000004005
2022-05-13,2.250000000001154
2022-02-07,5.720000000001189
2021-12-16,-3.6599999999991
2022-04-18,6.580000000001373
2023-04-13,8.580000000000398
2023-02-22,3.5200000000010823
2021-10-04,7.080000000000563
2022-08-30,6.330000000000516
2023-05-16,45.00000000000691
2022-08-17,15.600000000009288
2021-10-11,-77.99999999999146
2022-08-04,75.80000000000572
2023-09-01,-303.69999999999925
2023-06-20,60.80000000000391
2022-07-27,201.4000000000064
2023-01-05,-37.799999999991634
2022-07-20,-6.799999999993645
2022-01-17,-13.499999999991
2022-07-14,128.0000000000054
2022-01-25,122.00000000000516
2022-08-23,116.40000000000109
2023-09-21,62.60000000001092
2022-06-06,1.900000000004634
2023-06-30,129.30000000000754
2023-03-03,14.50000000001036
2023-04-17,110.2000000000051
2022-12-12,124.100000000023
2023-03-13,159.9000000000113
2022-12-02,282.20000000000454
2022-06-08,108.90000000000936
2022-07-13,-1100.2999999999788
2022-09-05,43.600000000011086
